Name,English_title,Score,Popularity,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics,Positive_ratio,Total_reviews
Jie Yao,Antidote,7.08,4746,ONA,13,Finished Airing,"Jan 9, 2020 to Mar 26, 2020","None found, add some","None found, add some",Seven Stone Entertainment,Light novel,"Boys Love, Comedy, Slice of Life",Adult Cast,18 min. per ep.,PG-13 - Teens 13 or older,129,,,,0.7,10
Majutsushi Orphen,Orphen,7.08,3239,TV,24,Finished Airing,"Oct 3, 1998 to Mar 27, 1999","Kadokawa Shoten,       TBS",Sentai Filmworks,J.C.Staff,Light novel,"Action, Adventure, Comedy, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older,180,Fall 1998,Saturdays at 17:00 (JST),,0.7,10
No Guns Life 2nd Season,No Guns Life Season 2,7.08,2385,TV,12,Finished Airing,"Jul 10, 2020 to Sep 25, 2020","Sony Pictures Entertainment,       TBS,       AT-X,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Good Smile Film",Funimation,Madhouse,Manga,"Action, Drama, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,85,Summer 2020,Fridays at 01:28 (JST),Seinen,0.6,10
Boku no Chikyuu wo Mamotte,Please Save My Earth,7.08,4807,OVA,6,Finished Airing,"Dec 17, 1993 to Sep 23, 1994","Victor Entertainment,       Hakusensha",VIZ Media,Production I.G,Manga,"Drama, Sci-Fi",,30 min. per ep.,PG-13 - Teens 13 or older,156,,,Shoujo,0.75,8
Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,Saekano: Fan Service of Love and Youth,7.08,1744,TV Special,1,Finished Airing,09-Jan-15,Aniplex,"None found, add some",A-1 Pictures,Light novel,"Comedy, Romance, Ecchi",Harem,23 min.,PG-13 - Teens 13 or older,92,,,,0.38,8
Space Adventure Cobra,Space Adventure Cobra: The Movie,7.08,6004,Movie,1,Finished Airing,03-Jul-82,Streamline Pictures,"Discotek Media,       Urban Vision",TMS Entertainment,Manga,"Action, Adventure, Sci-Fi","Adult Cast, Space",1 hr. 39 min.,R+ - Mild Nudity,47,,,Shounen,0.67,6
Beyblade Burst God,Beyblade Burst Evolution,7.08,4987,TV,51,Finished Airing,"Apr 3, 2017 to Mar 26, 2018","TV Tokyo,       d-rights",ADK Emotions NY Inc.,OLM,Manga,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG - Children,135,Spring 2017,Mondays at 17:55 (JST),Kids,0.6,5
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,,7.08,4331,OVA,1,Finished Airing,16-Apr-09,Square Enix,"None found, add some",A-1 Pictures,Novel,"Action, Fantasy",Super Power,28 min.,PG-13 - Teens 13 or older,11,,,,1,4
Kagejitsu!,,7.08,5321,ONA,17,Finished Airing,"Oct 26, 2022 to Feb 15, 2023","AT-X,       BS NTV,       Kadokawa,       NewGin,       Aiming",Sentai Filmworks,Studio PuYUKAI,Light novel,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,58,,,,0.5,4
Negima!? Natsu Special!?,,7.08,5104,OVA,1,Finished Airing,22-Nov-06,Starchild Records,"Funimation,       Sentai Filmworks","Shaft,       GANSIS",Manga,"Comedy, Fantasy, Romance, Ecchi",,27 min.,PG-13 - Teens 13 or older,13,,,,1,4
Nu Wushen de Canzhuo,Cooking with Valkyries,7.08,5674,ONA,10,Finished Airing,"Jun 28, 2019 to Aug 30, 2019",miHoYoAnime,"None found, add some","Blade,       Thundray",Game,"Comedy, Gourmet",,5 min. per ep.,PG-13 - Teens 13 or older,65,,,,0.5,4
Cobra The Animation,,7.08,6565,TV,13,Finished Airing,"Jan 2, 2010 to Mar 27, 2010",Happinet Pictures,Sentai Filmworks,Magic Bus,Manga,"Action, Adventure, Sci-Fi","Adult Cast, Space",24 min. per ep.,R+ - Mild Nudity,28,Winter 2010,Saturdays at 23:30 (JST),Shounen,0.33,3
Lostorage Conflated WIXOSS,,7.08,4000,TV,12,Finished Airing,"Apr 7, 2018 to Jun 23, 2018","None found, add some","None found, add some",J.C.Staff,Card game,Suspense,"High Stakes Game, Psychological, Strategy Game",23 min. per ep.,R - 17+ (violence & profanity),79,Spring 2018,Saturdays at 00:30 (JST),,0.33,3
Ryuusei no Rockman,Megaman Star Force,7.08,5634,TV,55,Finished Airing,"Oct 7, 2006 to Oct 27, 2007","None found, add some",VIZ Media,Xebec,Game,"Action, Sci-Fi",Strategy Game,10 min. per ep.,PG - Children,80,Fall 2006,Unknown,,0.33,3
Anime Himitsu no Hanazono,The Secret Garden,7.08,7732,TV,39,Finished Airing,"Apr 19, 1991 to Mar 27, 1992",NHK,"None found, add some","Gakken,       Aubec",Book,Drama,Historical,25 min. per ep.,G - All Ages,24,Spring 1991,Unknown,,1,2
Black Cat (TV): Toozakaru Neko,Black Cat Special,7.08,4698,Special,1,Finished Airing,26-Jul-06,GDH,Funimation,Gonzo,Manga,"Action, Adventure, Comedy, Sci-Fi",Super Power,24 min.,PG-13 - Teens 13 or older,24,,,Shounen,0,2
Chibi Maruko-chan Movie,,7.08,10824,Movie,1,Finished Airing,15-Dec-90,"None found, add some","None found, add some",Nippon Animation,Manga,Comedy,School,1 hr. 33 min.,G - All Ages,4,,,Shoujo,1,2
Quanzhi Fashi VI,Full-Time Magister 6th Season,7.08,5135,ONA,12,Finished Airing,"Jun 2, 2023 to Aug 11, 2023","Tencent Penguin Pictures,       China Literature Limited,       Yuewen Animation & Comics","None found, add some",Foch Films,Web novel,"Action, Fantasy",School,23 min. per ep.,PG-13 - Teens 13 or older,146,,,,0.5,2
Tennis no Oujisama: Another Story - Kako to Mirai no Message Specials,The Prince of Tennis: Another Story - Messages From Past and Future OVA Bonus,7.08,7744,Special,2,Finished Airing,"May 26, 2009 to Sep 25, 2009",M.S.C,"None found, add some","None found, add some",Manga,Comedy,,3 min. per ep.,PG-13 - Teens 13 or older,3,,,,0.5,2
Wan Jie Xian Zong 5th Season,The Wonderland of Ten Thousand 5th Season,7.08,11167,ONA,Unknown,Currently Airing,"Jun 26, 2021 to ?","Tencent Penguin Pictures,       Liu Cong Animation","None found, add some",Ruo Hong Culture,Web manga,"Action, Fantasy, Romance","Historical, Mythology",7 min.,PG-13 - Teens 13 or older,7,,,,0.5,2
Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,,7.08,6520,Movie,1,Finished Airing,23-Apr-94,"TV Asahi,       Asatsu DK,       Imagine","None found, add some",Shin-Ei Animation,Manga,"Action, Adventure, Comedy",,1 hr. 33 min.,G - All Ages,9,,,Seinen,0,1
Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru,,7.08,5230,TV Special,1,Finished Airing,26-Mar-11,"None found, add some","None found, add some",Bones,Light novel,Mystery,Historical,13 min.,R - 17+ (violence & profanity),28,,,,1,1
Hidari Pilot Film,,7.08,15629,ONA,1,Finished Airing,17-Jan-23,Whatever Co.,"None found, add some","dwarf,       Tecarat",Original,Action,"Historical, Samurai",5 min.,PG-13 - Teens 13 or older,0,,,,1,1
Kidou Senshi Gundam: Dai 08 MS Shoutai - Sanjigen to no Tatakai,Mobile Suit Gundam: The 08th MS Team - A Battle with the Third Dimension,7.08,6375,Special,1,Finished Airing,22-Feb-13,"None found, add some",Nozomi Entertainment,Sunrise,Original,Action,"Mecha, Military",9 min.,PG-13 - Teens 13 or older,6,,,,1,1
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie,Kameari Park Precinct,7.08,10823,Movie,1,Finished Airing,23-Dec-99,"None found, add some","None found, add some",Gallop,Manga,"Action, Comedy, Mystery","Adult Cast, Detective, Gag Humor",1 hr. 34 min.,PG-13 - Teens 13 or older,0,,,Shounen,1,1
Nasu: Suitcase no Wataridori,Nasu: A Migratory Bird with Suitcase,7.08,9121,OVA,1,Finished Airing,24-Oct-07,"None found, add some","None found, add some",Madhouse,Manga,Sports,Racing,54 min.,PG-13 - Teens 13 or older,4,,,Seinen,0,1
Nintama Rantarou,,7.08,7187,TV,Unknown,Currently Airing,"Apr 10, 1993 to ?",NHK,"None found, add some",Ajia-do,Manga,Comedy,,10 min.,G - All Ages,74,Spring 1993,Not scheduled once per week,Kids,0,1
Tsurikichi Sanpei,Sanpei the Fisherman,7.08,8084,TV,109,Finished Airing,"Apr 7, 1980 to Jun 28, 1982",Studio Jack,"None found, add some",Nippon Animation,Manga,"Adventure, Sports",,24 min. per ep.,G - All Ages,20,Spring 1980,Mondays at 19:00 (JST),Shounen,0,1
Druaga no Tou: The Aegis of Uruk - Jil no Bouken,Tower of Druaga: The Aegis of Uruk - Jil's Adventure,7.08,5442,Special,1,Finished Airing,04-Apr-08,"None found, add some",Funimation,Gonzo,Game,"Adventure, Fantasy",,24 min.,PG-13 - Teens 13 or older,11,,,,0,0
Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,,7.08,9234,Movie,1,Finished Airing,14-Dec-96,"Dentsu,       Yomiuri Telecasting,       Kodansha","None found, add some",Toei Animation,Light novel,Mystery,School,1 hr. 35 min.,PG-13 - Teens 13 or older,7,,,Shounen,0,0
Obey Me! Season 2,,7.08,6021,ONA,12,Finished Airing,"Jul 22, 2022 to Dec 23, 2022",Colored Pencil Animation,Crunchyroll,Colored Pencil Animation Japan,Game,"Comedy, Fantasy",Mythology,6 min. per ep.,PG-13 - Teens 13 or older,92,,,,0,0
Kirarin☆Revolution,Kirarin Revolution,7.07,3909,TV,153,Finished Airing,"Apr 7, 2006 to Mar 27, 2009","Shogakukan-Shueisha Productions,       MediaNet,       Sony Music Entertainment","None found, add some","SynergySP,       G&G Entertainment",Manga,"Comedy, Drama, Romance",Showbiz,22 min. per ep.,PG-13 - Teens 13 or older,257,Spring 2006,Fridays at 18:00 (JST),Shoujo,0.39,18
Highschool of the Dead,,7.07,78,TV,12,Finished Airing,"Jul 5, 2010 to Sep 20, 2010","Geneon Universal Entertainment,       AT-X,       Showgate",Sentai Filmworks,Madhouse,Manga,"Action, Horror, Supernatural, Suspense, Ecchi","Gore, Survival",23 min. per ep.,R+ - Mild Nudity,"10,266",Summer 2010,Mondays at 11:30 (JST),Shounen,0.56,445
The God of High School,,7.07,188,TV,13,Finished Airing,"Jul 6, 2020 to Sep 28, 2020","Crunchyroll,       Sola Entertainment,       Naver Webtoons",VIZ Media,MAPPA,Web manga,"Action, Fantasy","Martial Arts, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,"4,156",Summer 2020,Mondays at 23:30 (JST),,0.31,378
Kaizoku Oujo,Fena: Pirate Princess,7.07,1221,TV,12,Finished Airing,"Oct 3, 2021 to Dec 19, 2021","flying DOG,       Crunchyroll,       DMM pictures","None found, add some",Production I.G,Original,"Action, Adventure, Fantasy",Historical,24 min. per ep.,PG-13 - Teens 13 or older,"1,221",Fall 2021,Sundays at 02:38 (JST),,0.42,83
Knight's & Magic,,7.07,925,TV,13,Finished Airing,"Jul 2, 2017 to Sep 24, 2017","Bandai Visual,       Genco,       Lantis,       AT-X,       Magic Capsule,       Q-Tec,       Hakuhodo DY Music & Pictures",Funimation,8bit,Light novel,"Action, Fantasy","Isekai, Mecha, Reincarnation, School",24 min. per ep.,PG-13 - Teens 13 or older,"1,007",Summer 2017,Sundays at 21:00 (JST),,0.42,79
Kuro no Shoukanshi,Black Summoner,7.07,1057,TV,12,Finished Airing,"Jul 9, 2022 to Sep 24, 2022","flying DOG,       Bushiroad,       Docomo Anime Store,       bilibili,       Overlap,       Bushiroad Move,       Bushiroad Creative","None found, add some",Satelight,Light novel,"Action, Fantasy","Isekai, Reincarnation",23 min. per ep.,PG-13 - Teens 13 or older,"1,090",Summer 2022,Saturdays at 22:00 (JST),,0.39,72
Boogiepop wa Warawanai (2019),Boogiepop and Others,7.07,1065,TV,18,Finished Airing,"Jan 4, 2019 to Mar 29, 2019","ASCII Media Works,       Kadokawa",Funimation,Madhouse,Light novel,"Avant Garde, Drama, Horror, Mystery, Supernatural, Suspense",Psychological,23 min. per ep.,R - 17+ (violence & profanity),842,Winter 2019,Fridays at 21:00 (JST),,0.56,62
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,7.07,500,TV,12,Finished Airing,"Apr 15, 2017 to Jul 1, 2017","Genco,       Movic,       Warner Bros. Japan,       KlockWorx,       SoftBank Creative,       MAGES.,       Hakuhodo DY Music & Pictures,       FuRyu,       Imagine",Sentai Filmworks,J.C.Staff,Light novel,"Action, Adventure, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older,717,Spring 2017,Saturdays at 00:30 (JST),,0.45,49
Aquarion Evol,,7.07,2001,TV,26,Finished Airing,"Jan 9, 2012 to Jun 25, 2012","Media Factory,       Bandai,       Tohokushinsha Film Corporation,       Overlap",Funimation,"Satelight,       8bit",Original,"Action, Fantasy, Romance, Sci-Fi",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,416,Winter 2012,Unknown,,0.54,46
Log Horizon: Entaku Houkai,Log Horizon: Destruction of the Round Table,7.07,1003,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021","None found, add some",Funimation,Studio Deen,Light novel,"Action, Adventure, Fantasy","Adult Cast, Video Game",24 min. per ep.,PG-13 - Teens 13 or older,643,Winter 2021,Wednesdays at 19:25 (JST),,0.4,43
Yes ka No ka Hanbun ka,"Yes, No, or Maybe?",7.07,2943,Movie,1,Finished Airing,11-Dec-20,"None found, add some","None found, add some",Lesprit,Light novel,"Boys Love, Drama","Adult Cast, Showbiz",53 min.,PG-13 - Teens 13 or older,281,,,,0.56,34
Kiratto Pri☆chan Season 3,,7.07,10320,TV,51,Finished Airing,"Apr 5, 2020 to May 30, 2021",syn Sophia,"None found, add some",Tatsunoko Production,Game,Comedy,"Idols (Female), Music",24 min. per ep.,PG - Children,10,Spring 2020,Sundays at 10:00 (JST),,1,2
Gunnm,Battle Angel Alita,7.07,2798,OVA,2,Finished Airing,"Jun 21, 1993 to Aug 21, 1993","animate Film,       Movic",ADV Films,Madhouse,Manga,"Drama, Sci-Fi",Mecha,30 min. per ep.,R+ - Mild Nudity,268,,,Seinen,0.69,29
Last Exile: Ginyoku no Fam,"Last Exile: Fam, the Silver Wing",7.07,3256,TV,21,Finished Airing,"Oct 15, 2011 to Mar 24, 2012","CBC Television,       flying DOG,       Cyclone Graphics",Funimation,Gonzo,Original,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,100,Fall 2011,Saturdays at 02:00 (JST),,0.5,26
Prima Doll,,7.07,3857,TV,12,Finished Airing,"Jul 9, 2022 to Sep 24, 2022","Mainichi Broadcasting System,       Visual Arts,       NBCUniversal Entertainment Japan,       Tokyo MX,       JR East Marketing & Communications,       MAGNET,       AQUA ARIS,       Pia,       BS Asahi",Sentai Filmworks,Bibury Animation Studios,Mixed media,"Sci-Fi, Slice of Life",,24 min. per ep.,PG-13 - Teens 13 or older,233,Summer 2022,Saturdays at 00:30 (JST),,0.61,23
Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,Yashahime: Princess Half-Demon: The Second Act,7.07,3366,TV,24,Finished Airing,"Oct 2, 2021 to Mar 26, 2022","Yomiuri Telecasting,       Shogakukan",VIZ Media,Sunrise,Original,"Action, Adventure, Fantasy","Historical, Mythology, Time Travel",24 min. per ep.,PG-13 - Teens 13 or older,323,Fall 2021,Saturdays at 17:30 (JST),,0.59,17
